id,nom,definition,exemple,categorie
75,"Sophisme de la conjonction","L'hypothèse qu'un résultat qui satisfait à plusieurs conditions spécifiques est plus probable qu'un résultat qui satisfait à une seule condition plus générale.","'Lorsqu'on demande ce qui est le plus probable : 'Un homme aura une crise cardiaque' ou 'Un homme de plus de 55 ans, en surpoids et qui fume aura une crise cardiaque', beaucoup de gens choisissent la deuxième option, même si le premier groupe inclut logiquement le second.'","conditionnel"
76,"Sophisme du taux de base (en tant que sophisme)","Ce sophisme consiste à ignorer les informations statistiques de base et à se concentrer plutôt sur des informations spécifiques, souvent anecdotiques, pour construire un argument.","'Si vous voyez un homme calme qui aime la poésie, est-il plus probable qu'il soit professeur de lettres classiques ou chauffeur de camion ? Argumenter en faveur du 'professeur' ignore le nombre beaucoup plus important de chauffeurs de camion (le taux de base).'","conditionnel"
77,"Sophisme du procureur","Un sophisme de raisonnement statistique où la probabilité d'une correspondance aléatoire est supposée être la probabilité que l'accusé soit innocent. Il confond P(Preuve|Innocent) avec P(Innocent|Preuve).","'Il y a une chance sur un million que l'ADN de l'accusé corresponde s'il était innocent. Par conséquent, il y a une chance sur un million qu'il soit innocent.' C'est incorrect.","conditionnel"
78,"Question piège","Une question qui contient une hypothèse controversée ou injustifiée (par exemple, une présomption de culpabilité). Répondre directement à une telle question implique d'être d'accord avec l'hypothèse.","'Avez-vous cessé de tricher à vos examens ?' Cette question présuppose que la personne a triché dans le passé. Une réponse par 'oui' ou par 'non' est un aveu de culpabilité.","conditionnel"
79,"Double contrainte","Un procédé rhétorique où une personne se voit offrir deux choix, mais les deux choix mènent au même résultat indésirable pour elle, la piégeant efficacement.","'Un manager dit à un employé : 'J'ai besoin que vous soyez plus affirmé, mais ne remettez pas en question mon autorité.' L'employé est critiqué, qu'il agisse de manière indépendante ou reste passif.'","conditionnel"
80,"Effet de cadrage (en tant que sophisme)","Le sophisme de manipuler une conclusion en présentant des informations identiques de différentes manières.","'On dit à un groupe qu'une nouvelle procédure a un 'taux de réussite de 90 %', tandis qu'on dit à un autre qu'elle a un 'taux d'échec de 10 %'. Soutenir que l'un est meilleur que l'autre est un sophisme.'","conditionnel"
81,"Sophisme de la motte castrale","Une stratégie rhétorique où un argumentateur confond deux positions : une modeste et facile à défendre ('la motte') et une plus controversée ('la basse-cour'). Lorsqu'il est contesté sur la basse-cour, il se replie sur la motte.","'Quelqu'un plaide pour la 'basse-cour' : 'La société devrait être radicalement restructurée pour éliminer toutes les hiérarchies.' Lorsqu'il est contesté, il se replie sur la 'motte' : 'Tout ce que je dis, c'est que nous devrions être plus gentils les uns avec les autres.''","conditionnel"
82,"Fausse analogie","Ce sophisme consiste à supposer que parce que deux choses se ressemblent sur un ou plusieurs points, elles se ressemblent nécessairement sur un autre point, souvent crucial. L'analogie n'est pas assez forte pour soutenir la conclusion.","'Le gouvernement, comme une entreprise, devrait être géré dans un but lucratif.' C'est une faible analogie car les principales responsabilités d'un gouvernement ne sont pas motivées par le profit.","conditionnel"
83,"Appel à la clôture","L'argument selon lequel une conclusion doit être acceptée parce qu'elle donne un sentiment de finalité ou de clôture à une question complexe ou troublante. Le besoin de clôture est prioritaire sur les preuves.","'Cette affaire de meurtre dure depuis trop longtemps ; nous devons condamner le suspect actuel pour que la famille puisse tourner la page.' Le désir de tourner la page n'est pas une raison valable pour condamner.","conditionnel"
84,"Affirmation circulaire","Une forme de pétition de principe où la prémisse d'un argument n'est qu'une reformulation de la conclusion, souvent avec des mots légèrement différents.","'Notre produit est le meilleur sur le marché car aucun autre produit ne lui est supérieur.' La prémisse ('aucun autre produit ne lui est supérieur') n'est qu'une autre façon de dire la conclusion.","conditionnel"
85,"Sophisme du tiers exclu","Une forme spécifique de faux dilemme où l'on suppose que seules deux positions extrêmes et opposées sont les seules options, tout en ignorant la possibilité de vues modérées.","'Si vous ne soutenez pas ce nouveau projet de loi sur la sécurité avec sa surveillance invasive, vous devez vouloir que les terroristes gagnent.' Cela ne présente que les deux extrêmes, excluant toute position nuancée.","conditionnel"
86,"Affirmation du conséquent","Un sophisme formel qui consiste à déduire l'inverse de la déclaration originale. L'argument a la forme invalide : Si P, alors Q. Q est vrai. Par conséquent, P est vrai.","'S'il pleut, alors la rue est mouillée. La rue est mouillée. Par conséquent, il doit pleuvoir.' C'est fallacieux car la rue pourrait être mouillée par un nettoyeur de rue.","formel"
87,"Négation de l'antécédent","Un sophisme formel qui consiste à déduire l'inverse de la déclaration originale. L'argument a la forme invalide : Si P, alors Q. P n'est pas vrai. Par conséquent, Q n'est pas vrai.","'Si vous avez un permis de conduire, vous avez plus de 16 ans. Vous n'avez pas de permis de conduire. Par conséquent, vous n'avez pas plus de 16 ans.' C'est faux ; un jeune de 25 ans pourrait simplement choisir de ne pas avoir de permis.","formel"
88,"Sophisme du moyen terme non distribué","Un sophisme formel dans un syllogisme catégorique où le moyen terme (celui qui relie les deux prémisses) n'est pas distribué, ce qui signifie qu'il ne se réfère pas à tous les membres de sa catégorie.","'Tous les chiens sont des mammifères. Tous les chats sont des mammifères. Par conséquent, tous les chiens sont des chats.' Ici, 'mammifères' est le moyen terme non distribué.","formel"
89,"Argument du sophisme (Sophisme du sophiste)","Le sophisme formel qui consiste à analyser un argument et à en déduire que, puisqu'il contient un sophisme, sa conclusion doit être fausse. Un argument fallacieux peut, par coïncidence, aboutir à une conclusion vraie.","'Personne A : 'Tous les chats sont des animaux. Ginger est un animal. Par conséquent, Ginger est un chat.' Personne B : 'Vous avez commis un sophisme. Par conséquent, Ginger n'est pas un chat.' La conclusion pourrait quand même être vraie.'","formel"
90,"Sophisme existentiel","Un sophisme formel où une conclusion qui affirme l'existence est tirée de prémisses qui n'affirment pas l'existence.","'Toutes les licornes ont des cornes. Toutes les licornes sont magiques. Par conséquent, certaines créatures magiques ont des cornes.' L'argument est valide dans sa forme, mais fallacieux car il conclut que quelque chose existe à partir de prémisses sur une classe inexistante.","formel"
91,"Sophisme modal","Un sophisme en logique modale où une déclaration de possibilité ou de nécessité est confuse. Une forme courante consiste à confondre 'Il n'est pas nécessairement vrai que P' avec 'Il est nécessairement vrai que non-P'.","'Le président aura nécessairement plus de 35 ans. Jean a plus de 35 ans. Par conséquent, Jean est nécessairement le président.' Cela confond une propriété nécessaire du président avec le fait de faire de la présidence de Jean une nécessité.","formel"
92,"Logique de la bouilloire","Utiliser plusieurs arguments incohérents pour défendre un seul point. Le nom vient d'une histoire où un homme défend le retour d'une bouilloire endommagée en arguant : (1) il ne l'a jamais empruntée, (2) elle était déjà endommagée, et (3) elle était en parfait état quand il l'a rendue.","'Un étudiant accusé de tricherie argumente : 'Je n'ai pas triché. D'ailleurs, je n'ai regardé la copie de mon voisin que pour une seule question. Et de toute façon, tout le monde trichait aussi.''","formel"
93,"Non sequitur","En latin 'cela ne suit pas', c'est un terme général pour une conclusion qui ne découle pas logiquement des prémisses. Le lien entre la prémisse et la conclusion est manquant ou absurde.","'Mon adversaire aime la musique classique, tout comme les empereurs romains. Il serait donc un chef tyrannique.' Il n'y a aucun lien logique entre le goût musical et le style de leadership.","formel"
94,"Affirmation d'une disjonction","Un sophisme formel avec la structure : P ou Q. P est vrai. Par conséquent, Q n'est pas vrai. Ce n'est un sophisme que lorsque le 'ou' est inclusif (ce qui signifie que P et Q pourraient être vrais).","'Le menu indique que ce repas est accompagné d'une soupe ou d'une salade. Je prends la soupe. Par conséquent, je ne prends pas la salade.' (De nombreux restaurants vous permettent d'avoir les deux).","formel"
95,"Négation d'une conjonction","Un sophisme formel avec la structure : Il n'est pas vrai que (P et Q). Non P. Par conséquent, Q. L'erreur est de supposer que l'un des conjoints doit être vrai si la conjonction est fausse.","'Un accusé ne peut être coupable à la fois de meurtre et d'homicide involontaire. L'accusé n'est pas coupable de meurtre. Par conséquent, il doit être coupable d'homicide involontaire.' (L'accusé pourrait être innocent des deux).","formel"
96,"Sophisme des prémisses exclusives","Un sophisme formel dans un syllogisme catégorique où les deux prémisses sont négatives (par exemple, 'aucun X n'est Y' et 'aucun Z n'est X'). Aucune conclusion valide ne peut être tirée de deux prémisses négatives.","'Aucun poisson n'est un mammifère. Certains chiens ne sont pas des poissons. Par conséquent, certains chiens ne sont pas des mammifères.' (La conclusion est fausse, et la structure de l'argument est invalide).","formel"
97,"Sophisme des quatre termes","Un sophisme formel qui se produit lorsqu'un syllogisme a quatre termes ou plus au lieu des trois requis. Cela se produit souvent par équivoque.","'Toutes les rivières ont des berges (banks). Toutes les banques (banks) ont de l'argent. Par conséquent, toutes les rivières ont de l'argent.' (Le mot 'bank' est utilisé avec deux significations différentes).","formel"
98,"Majeur illicite","Un sophisme formel où le terme majeur (le prédicat de la conclusion) est distribué dans la conclusion mais pas dans la prémisse majeure.","'Tous les chats sont des mammifères. Aucun chien n'est un chat. Par conséquent, aucun chien n'est un mammifère.' ('mammifères' est distribué dans la conclusion mais pas dans la prémisse).","formel"
99,"Mineur illicite","Un sophisme formel où le terme mineur (le sujet de la conclusion) est distribué dans la conclusion mais pas dans la prémisse mineure.","'Tous les militants sont des gens passionnés. Tous les militants sont des citoyens. Par conséquent, tous les citoyens sont des gens passionnés.' ('citoyens' est distribué dans la conclusion mais pas dans la prémisse).","formel"
100,"Sophisme de l'homme masqué (Sophisme intentionnel)","Ce sophisme formel implique une substitution invalide d'identiques dans une déclaration sur la croyance ou la connaissance. La connaissance d'une personne sur un objet n'est pas une propriété de l'objet lui-même.","'Prémisse 1 : Je sais qui est Bruce Wayne. Prémisse 2 : Je ne sais pas qui est Batman. Conclusion : Par conséquent, Bruce Wayne n'est pas Batman.' (L'argument échoue car 'savoir' concerne mon état mental).","formel"
101,"Sophisme du décalage de quantificateur","Un sophisme formel où les quantificateurs dans un argument (tels que 'tous', 'certains' ou 'aucun') sont échangés de manière invalide.","'Pour chaque personne, il existe un rêve qui lui est cher. Par conséquent, il existe un rêve que chaque personne chérit.' Cela passe à tort de chaque personne ayant son propre rêve à toutes les personnes partageant un seul rêve.","formel"
102,"Sophisme du concept volé","L'acte d'utiliser un concept tout en ignorant, contredisant ou niant la validité des concepts plus fondamentaux dont il dépend logiquement.","'Une personne argumente : 'Je suis certain que rien ne peut être certain.' Pour être certain de cette affirmation, elle doit s'appuyer sur le concept même de certitude qu'elle nie simultanément.'","formel"
103,"Sophisme définitionnel","Ce sophisme consiste à définir un terme d'une manière biaisée ou chargée pour favoriser sa propre position dans un argument, rendant ainsi sa conclusion vraie par définition.","'Dans un débat sur la liberté, quelqu'un argumente : 'La vraie liberté n'est pas de faire ce que l'on veut, mais de faire ce qui est moralement juste.' Il soutient ensuite que sa position est moralement juste, ce qui en fait un acte de 'vraie liberté' selon sa propre définition.'","formel"
104,"Vérité vacue","Une déclaration qui est techniquement vraie mais ne transmet aucune information utile parce que la prémisse (la partie 'si') est vide ou ne s'applique à rien. Elle n'est vraie que parce que la condition n'est jamais remplie.","'La déclaration 'Toutes mes voitures en or massif sont actuellement garées dans mon garage' est vacuement vraie parce que l'orateur ne possède aucune voiture en or massif.'","formel"
105,"Appel à l'accomplissement","Ce sophisme se produit lorsqu'un argumentateur fonde la validité supposée de son argument sur ses propres réalisations ou celles des autres, qui ne sont pas pertinentes pour la substance de l'argument.","'J'ai bâti une entreprise d'un milliard de dollars à partir de rien, vous devriez donc écouter mes conseils en politique étrangère.' Le succès commercial de l'orateur ne lui confère pas une expertise en relations internationales.","pertinence"
106,"Argument de la répétition (Ad Nauseam)","Ce sophisme consiste à répéter une affirmation encore et encore à la place de meilleures preuves. La répétition peut rendre l'affirmation plus crédible, quelle que soit sa véracité.","'Une campagne politique diffuse à plusieurs reprises une publicité avec un slogan simple qui attaque un adversaire. Après l'avoir entendue des dizaines de fois, les électeurs peuvent commencer à y croire sans avoir vu de preuves.'","pertinence"
107,"Fausse attribution","Ce sophisme consiste à citer une source peu fiable, biaisée, non pertinente ou même fabriquée pour étayer un argument. Le but est de donner l'apparence d'autorité ou de preuve là où il n'y en a pas.","'Selon une étude de l'Institut de recherche sur les boissons, boire trois sodas par jour est sain.' L''Institut' peut être un groupe de façade financé par des entreprises de sodas.","pertinence"
108,"Cliché qui met fin à la pensée","Une phrase ou une sagesse populaire couramment utilisée pour mettre fin à un débat ou rejeter une question complexe, empêchant ainsi toute réflexion critique supplémentaire. Elle fournit une réponse simple mais évite un véritable engagement.","'Lorsqu'on discute des complexités d'un problème social, quelqu'un met fin à la conversation en disant : 'C'est comme ça.'' Ce cliché met fin à toute analyse plus approfondie.'","pertinence"
109,"Appel à la complexité","Ce sophisme affirme qu'une conclusion est fausse parce que l'argument qui la soutient est trop complexe pour que le public (ou l'argumentateur) le comprenne. Il confond l'incompréhension avec l'invalidité.","'L'article scientifique expliquant le changement climatique est plein de modèles complexes que je ne peux pas suivre, donc je ne pense pas que les conclusions soient dignes de confiance.'","pertinence"
110,"Effet Dunning-Kruger (en tant que sophisme)","Un biais cognitif où les personnes peu compétentes dans une tâche surestiment leur capacité. Cela devient un sophisme lorsqu'elles avancent avec confiance des arguments dans un domaine où elles manquent de connaissances.","'Une personne qui n'a lu que quelques articles en ligne sur les vaccins argumente avec confiance contre un épidémiologiste, croyant que sa propre compréhension est supérieure.'","pertinence"
111,"Réactance (en tant que sophisme)","L'envie de faire le contraire de ce que quelqu'un veut que vous fassiez. Cela devient un sophisme lorsque cela constitue la seule base pour rejeter un argument, plutôt qu'une évaluation rationnelle de ses mérites.","'Un adolescent décide de commencer à fumer spécifiquement parce que ses parents et tous les avertissements sanitaires le lui interdisent. La décision est une réaction au contrôle perçu, et non une évaluation rationnelle.'","pertinence"
112,"Deux torts ne font pas un droit","Ce sophisme se produit lorsqu'une personne tente de justifier une action contre une autre personne en affirmant que l'autre personne a fait ou ferait la même chose.","'Oui, j'ai rayé sa voiture, mais il m'a trompée en premier !' Le méfait initial ne justifie ni moralement ni légalement l'acte de vandalisme en représailles.","pertinence"
113,"Appel à la loi","Soutenir que quelque chose est moralement juste parce que c'est légal, ou moralement mauvais parce que c'est illégal. Ce sophisme assimile les normes juridiques aux normes éthiques, qui ne sont pas toujours les mêmes.","'Il n'y a rien de mal dans la façon dont notre entreprise traite ses travailleurs à l'étranger, car nous respectons toutes les lois du travail locales.' La légalité des actions ne les rend pas automatiquement éthiques.","pertinence"
114,"Snobisme chronologique","L'argument selon lequel la pensée, l'art ou la science d'une époque antérieure sont intrinsèquement inférieurs à ceux du présent, simplement en vertu de leur succession temporelle.","'Pourquoi liriez-vous la philosophie antique ? La science moderne a déjà réfuté toute cette pensée démodée.' Cela rejette des domaines de pensée entiers en fonction de leur âge.","pertinence"
115,"Réponse du courtisan","Un sophisme où une affirmation est rejetée en affirmant que le critique manque de connaissances ou de références suffisantes pour faire l'affirmation, sans aborder la substance de la critique elle-même.","'Après qu'un étranger a souligné une contradiction dans une théorie économique, un économiste répond : 'Vous ne pouvez pas comprendre ; vous n'avez pas étudié l'économétrie avancée.''","pertinence"
116,"Damner avec de faibles éloges","Attaquer une personne ou une idée en offrant formellement des éloges, mais pour une qualité si mineure ou triviale qu'elle suggère que la personne ou l'idée n'a pas de qualités de valeur majeure.","'Lorsqu'on lui demande une lettre de recommandation, un manager écrit : 'Je peux attester qu'il était toujours ponctuel au travail.' L'éloge est si faible qu'il implique qu'il n'y a rien d'autre de positif à dire.'","pertinence"
117,"Gambit de Galilée","L'argument selon lequel, parce que ses idées non conventionnelles sont ridiculisées ou rejetées par le courant dominant, elles doivent être correctes, par analogie avec des personnages historiques comme Galilée.","'Ils ont tous ri de ma théorie selon laquelle la terre est creuse, mais ils ont aussi ri de Galilée ! Ma théorie doit être vraie.' Le fait que certaines idées correctes aient été autrefois ridiculisées ne signifie pas que toutes les idées ridiculisées sont correctes.","pertinence"
118,"Gish Gallop","Une technique rhétorique dans laquelle une personne dans un débat tente de submerger son adversaire en fournissant un nombre excessif d'arguments, sans se soucier de leur exactitude ou de leur pertinence.","'Dans un débat, une personne débite des dizaines de statistiques trompeuses et de demi-vérités dans un discours de deux minutes. Son adversaire est incapable de répondre à ce flot de désinformation.'","pertinence"
119,"J'ai le droit d'avoir mon opinion","Une déclaration utilisée pour clore un débat ou protéger une croyance de l'examen. Bien que les gens aient droit à leurs opinions, cette phrase est utilisée de manière fallacieuse pour impliquer que toutes les opinions sont également valides.","'Après que leurs affirmations sur l'astrologie ont été démystifiées avec des preuves, une personne conclut par : 'Eh bien, c'est votre point de vue. J'ai le droit d'avoir mon opinion.''","pertinence"
120,"Empoisonner le puits","Un type d'argument ad hominem où des informations défavorables sur une cible sont présentées de manière préventive à un public, dans l'intention de discréditer ou de ridiculiser tout ce que la personne cible est sur le point de dire.","'Avant un débat, un modérateur dit : 'Notre prochain orateur est un criminel condamné et un menteur connu. Veuillez écouter ce qu'il a à dire.' Le public est maintenant préparé à se méfier de l'orateur.'","pertinence"
121,"Reductio ad Hitlerum","La tentative d'invalider la position de quelqu'un au motif que la même opinion était partagée par Adolf Hitler ou le parti nazi. C'est une forme très incendiaire du sophisme d'association.","'Vous plaidez pour le végétarisme ? Vous savez, Hitler était aussi végétarien !' Cela tente de souiller la position en l'associant à un personnage historique honni.","pertinence"
122,"Sophisme du style sur la substance","Ce sophisme se produit lorsque la manière de présenter d'un argumentateur (par exemple, son charisme ou sa confiance) est jugée plus importante que le contenu, la logique ou les preuves de son argument.","'Le discours du candidat était si puissant et inspirant ; il doit avoir raison sur l'économie.' L'auditeur est persuadé par la livraison éloquente plutôt que par une analyse critique du plan.","pertinence"
123,"Police du ton","Un sophisme qui se concentre sur l'émotion ou le ton d'un message plutôt que sur la substance du message, dans le but de rejeter l'argument ou de faire dérailler la discussion.","'Après qu'une personne a argumenté avec passion contre une injustice sociale, un auditeur répond : 'Je ne peux pas prendre votre argument au sérieux quand vous êtes si en colère. Vous devez vous calmer.''","pertinence"
124,"Ignorance volontaire","La tendance à éviter ou à ignorer les informations qui pourraient être désagréables ou contredire ses croyances existantes. C'est un choix délibéré de rester non informé pour protéger un point de vue chéri.","'Une personne refuse de lire les rapports scientifiques sur les risques pour la santé de son aliment préféré, en disant : 'Je ne veux pas savoir, je veux juste en profiter.''","pertinence"
125,"Appel aux conséquences","Soutenir qu'une proposition doit être vraie ou fausse parce que les conséquences de sa véracité ou de sa fausseté sont souhaitables ou indésirables. Les conséquences d'une croyance n'ont aucune incidence sur sa véracité.","'Un univers créé par un Dieu aimant est une pensée beaucoup plus réconfortante qu'un univers né du hasard. Par conséquent, Dieu doit exister.'","pertinence"
126,"Appel au bon sens","Affirmer qu'une conclusion est vraie parce qu'elle relève du 'bon sens'. C'est fallacieux car de nombreuses choses autrefois considérées comme du bon sens (par exemple, la Terre est plate) se sont avérées fausses.","'Il est de bon sens que si vous épargnez la verge, vous gâtez l'enfant.' Cela évite de fournir des preuves réelles de l'efficacité des châtiments corporels.","pertinence"
127,"Bulvérisme","Inventé par C.S. Lewis, ce sophisme consiste à supposer que l'argument d'un adversaire est invalide en raison de son motif psychologique ou de son identité, puis à expliquer ce motif sans jamais réfuter l'argument lui-même.","'Vous ne croyez en ce principe moral que parce que vous avez été élevé dans un foyer religieux. Je peux vous expliquer pourquoi votre éducation vous a conduit à ce point de vue...' Cela rejette le principe en expliquant son origine supposée.","pertinence"
128,"Sophisme de la privation relative (Pas aussi grave que)","Rejeter un argument ou une plainte en raison de l'existence de problèmes plus importants dans le monde, que ces problèmes soient pertinents ou non pour la discussion en cours.","'Personne A : 'Je suis contrarié que mon vol ait été retardé.' Personne B : 'Vous ne devriez pas vous plaindre, il y a des gens qui meurent de faim dans le monde.' L'existence de personnes affamées n'invalide pas la frustration.'","pertinence"
129,"Preuve par affirmation","Un sophisme logique dans lequel une proposition est répétée sans tenir compte de la contradiction. Il peut parfois être utilisé comme une tactique rhétorique pour renforcer un point par la simple répétition.","'Dans une discussion, une personne ne cesse de dire : 'C'est le meilleur plan. C'est tout simplement le meilleur plan. Aucun autre plan n'est meilleur.' Elle ne fournit aucune preuve, juste des affirmations répétées.'","pertinence"
130,"Appel à l'inconvénient","L'affirmation qu'un argument doit être faux parce que l'accepter serait difficile, incommode ou nécessiterait un effort important. La commodité d'une croyance ne détermine pas sa vérité.","'Croire au changement climatique signifierait que je dois changer mon mode de vie. C'est trop de problèmes, donc je ne pense pas que ce soit réel.'","pertinence"
131,"Argument par le charabia (Déconcertement)","Un sophisme qui consiste à utiliser un langage trop complexe, obscur ou à consonance technique (jargon) pour donner l'impression d'intelligence et pour intimider ou embrouiller un adversaire afin qu'il accepte une conclusion.","'En utilisant des paradigmes synergiques pour tirer parti de nos compétences de base, nous pouvons effectuer un changement de paradigme dans notre matrice opérationnelle.' La déclaration est principalement du jargon vide de sens.","pertinence"
132,"Sophisme de la supériorité morale","Ce sophisme se produit lorsque quelqu'un suppose qu'il a raison dans son argument simplement parce qu'il croit occuper une position moralement supérieure. Il utilise la vertu auto-perçue comme substitut à la preuve.","'Je suis une personne compatissante et attentionnée, contrairement à mon adversaire. Par conséquent, ma proposition de réforme des soins de santé est meilleure.' Le caractère moral autoproclamé de l'orateur n'est pas pertinent.","pertinence"
133,"Preuve par la verbosité (Argumentum Verbosium)","Le sophisme qui consiste à submerger un adversaire avec un volume massif d'informations, à tel point qu'il ne peut pas y répondre. Il est lié au Gish Gallop.","'En réponse à une simple question, une personne soumet un document de 500 pages plein de graphiques et de données, puis prétend que sa position est prouvée parce que l'adversaire ne peut pas tout réfuter.'","pertinence"
134,"Appel à l'intérêt personnel","Ce sophisme tente de persuader un public d'accepter une conclusion en faisant appel à ses intérêts personnels, ses désirs ou ses avantages, plutôt qu'en fournissant des preuves logiques pour la conclusion elle-même.","'Vous devriez voter pour cette réduction d'impôts car elle mettra plus d'argent directement dans votre poche.' Cela ne répond pas à la question de savoir si la réduction d'impôts est bénéfique pour l'économie dans son ensemble.","pertinence"
135,"Appel à la force (Argumentum ad Baculum)","Ce sophisme se produit lorsqu'un argumentateur tente de persuader non pas par le raisonnement, mais en menaçant ou en intimidant l'autre personne. C'est une menace, explicite ou subtile, au lieu d'un argument.","'Si vous n'êtes pas d'accord avec mes opinions politiques, vous perdrez votre emploi dans cette entreprise.' La menace d'être licencié remplace tout argument logique.","pertinence"
136,"Appel au motif","Un sophisme où un argument est rejeté en remettant en question le motif de la personne qui le formule, plutôt qu'en abordant la substance de l'argument lui-même. C'est un type spécifique d'argument ad hominem.","'Ce scientifique plaide pour des réglementations environnementales plus strictes. Il cherche probablement juste plus de subventions gouvernementales pour ses recherches.' Cela attaque le motif présumé du scientifique.","pertinence"
137,"Sophisme de l'homoncule","Un argument qui tente d'expliquer un phénomène en termes du phénomène même qu'il est censé expliquer, créant une régression à l'infini.","'Pour expliquer comment une personne peut voir, on pourrait prétendre qu'il y a une minuscule personne (un homoncule) à l'intérieur du cerveau qui regarde un écran. Cela n'explique pas la vision ; cela ne fait que déplacer le problème.'","causal"
138,"If-by-Whiskey","Une tactique rhétorique où un orateur semble soutenir les deux côtés d'une question en utilisant un langage chargé d'émotion qui plaira à différents publics. La position réelle de l'orateur reste ambiguë.","'Un politicien à propos d'une nouvelle taxe controversée : 'Si par 'taxe' vous entendez prendre de l'argent aux familles pour financer des programmes inutiles, je suis contre. Mais si par 'taxe' vous entendez un investissement pour construire de meilleures écoles, alors je suis pour.''","causal"
139,"Surdétermination","Cela se produit lorsqu'un événement a plusieurs causes suffisantes, ce qui signifie que n'importe laquelle d'entre elles aurait suffi à produire l'effet. Le sophisme consiste à désigner une seule cause comme *la* cause.","'Un homme est abattu, poignardé et empoisonné simultanément, ce qui aurait été fatal. Prétendre qu'il est mort *à cause* du coup de feu est une simplification excessive.'","causal"
140,"Dépendance au sentier","L'idée que les décisions et les événements passés créent un 'sentier' qui contraint les choix futurs, même si d'autres options pourraient être plus efficaces. Le sentier historique, et non l'optimalité actuelle, dicte le résultat.","'La disposition du clavier QWERTY a été conçue pour ralentir les dactylos sur les anciennes machines à écrire. Bien qu'inefficace pour les ordinateurs modernes, elle persiste en raison des coûts massifs de reconversion.'","causal"
141,"Sophisme de la cause immédiate vs la cause profonde","Ce sophisme confond la cause immédiate, ou proche, d'un événement avec sa cause fondamentale, ou profonde. S'attaquer uniquement à la cause immédiate ne parvient souvent pas à empêcher le problème de se reproduire.","'La cause immédiate de l'incendie de la maison était un fil défectueux. La cause profonde était le manquement de la ville à faire respecter les codes du bâtiment, ce qui a permis l'installation d'un tel câblage défectueux.'","causal"
142,"Sophisme téléologique","C'est l'hypothèse que les phénomènes naturels ont un but, un objectif ou un dessein, et qu'ils agissent pour atteindre ce but. Il attribue une intention à des processus mécanistes et sans esprit.","'Le but de la pluie est d'arroser les plantes et de remplir les rivières.' Cela assigne un but à un processus météorologique qui est en fait régi par la physique, et non par un besoin d'aider les plantes.","causal"
143,"Erreur de planification (en tant que sophisme)","Un biais cognitif où l'on sous-estime le temps et les coûts des actions futures. Cela devient un sophisme lorsqu'il est utilisé pour plaider en faveur d'un plan irréaliste.","''Cette rénovation de maison ne prendra que deux semaines et coûtera exactement ce que j'ai budgétisé.' C'est souvent une prédiction fallacieuse, ignorant la forte probabilité de retards imprévus.'","causal"
144,"Stéréotypage (en tant que sophisme)","Un sophisme de généralisation où une croyance sur un groupe particulier de personnes est appliquée à chaque membre individuel de ce groupe, sans tenir compte des variations individuelles.","'C'est un programmeur informatique, il doit donc être socialement maladroit et introverti.' Cela applique un stéréotype courant à un individu sans aucune connaissance de sa personnalité réelle.","causal"
145,"Sophisme du subjonctif","Ce sophisme consiste à faire des affirmations sur ce qui se *serait* passé si une autre ligne de conduite avait été adoptée (un contrefactuel). De telles affirmations sont spéculatives et ne peuvent être prouvées.","''Si seulement j'avais étudié une heure de plus, j'aurais réussi l'examen.' Bien que plausible, c'est impossible à prouver ; peut-être que l'examen était tout simplement trop difficile.'","causal"
146,"Sophisme du 'package deal'","L'erreur de supposer que les choses qui sont traditionnellement regroupées doivent toujours l'être.","''Mon adversaire est pro-choix et contre les réductions d'impôts, il doit donc aussi soutenir le contrôle des armes à feu.' Cela suppose un 'package' standard de croyances politiques.'","conditionnel"
147,"Sophisme de la simple affirmation","Ce sophisme se produit lorsqu'une conclusion est offerte sans aucune preuve ou raisonnement à l'appui. L'argumentateur s'attend à ce que l'affirmation soit acceptée simplement parce qu'il l'a énoncée.","'Au cours d'un débat, un participant déclare : 'C'est comme ça', et ne fournit aucune autre justification à sa position.'","conditionnel"
148,"Argument de la paresse","Le sophisme de supposer qu'une conclusion est correcte parce que l'argumentateur n'est pas disposé à faire l'effort de rechercher ou de comprendre les contre-arguments.","''Je ne vais pas lire ce long rapport sur le changement climatique. C'est probablement tout faux de toute façon.''","pertinence"
149,"Argument pour l'avenir","Le sophisme de soutenir que les preuves d'une affirmation seront révélées à un moment donné dans le futur.","''Je n'ai pas de preuve pour ma théorie maintenant, mais la science finira par me donner raison.''","conditionnel"
150,"Snobisme chronologique","L'argument selon lequel la pensée, l'art ou la science d'une époque antérieure sont intrinsèquement inférieurs à ceux du présent, simplement en vertu de leur succession temporelle.","''Pourquoi liriez-vous la philosophie antique ? La science moderne a déjà réfuté toute cette pensée démodée.''","pertinence"
151,"Sophisme du design","L'hypothèse que parce que quelque chose est bien conçu ou esthétiquement agréable, il doit être bon ou efficace.","''Cette nouvelle application a une belle interface utilisateur, elle doit donc être la meilleure pour la productivité.''","pertinence"
152,"Sophisme du conséquent","Un terme général pour tout sophisme qui implique une erreur de raisonnement à partir du conséquent (la partie 'alors') d'une déclaration conditionnelle. Comprend l'affirmation du conséquent.","''Si l'alarme sonne, il y a un incendie. Il y a un incendie. Par conséquent, l'alarme sonne.' (L'incendie pourrait être silencieux).'","formel"
