id,name,definition,beispiel,kategorie
60,"Spotlight-Trugschluss","Die Tendenz anzunehmen, dass die Berichterstattung der Medien über eine Gruppe repräsentativ für die gesamte Gruppe ist. Es ist ein Trugschluss der Verallgemeinerung, der auf den sichtbarsten Mitgliedern basiert.","'Wenn man Nachrichtenberichte sieht, die sich ausschließlich auf gewalttätige Proteste konzentrieren, kommt eine Person zu dem Schluss, dass alle Menschen, die diese Sache unterstützen, gewalttätig sind, auch wenn die große Mehrheit friedlich ist.'","kausal"
61,"Falsches Dilemma (Falsche Dichotomie)","Dieser Trugschluss stellt eine Situation so dar, als gäbe es nur zwei Alternativen, obwohl in Wirklichkeit andere Alternativen existieren oder existieren können. Er schränkt die Wahlmöglichkeiten künstlich ein, um eine Entscheidung zu erzwingen.","'Entweder Sie sind für uns, oder Sie sind für die Terroristen.' Dies stellt nur zwei Optionen dar und ignoriert die Möglichkeit der Neutralität oder des Widerstands gegen beide Seiten.","konditional"
62,"Kontinuum-Trugschluss (Haufen-Trugschluss)","Dieser Trugschluss lehnt eine Behauptung ab, weil es nicht möglich ist, eine genaue Grenze zwischen zwei Zuständen zu ziehen. Er nutzt die Mehrdeutigkeit vager Begriffe aus.","'Man kann nicht mit Sicherheit sagen, wann eine Ansammlung von Sand zu einem Haufen wird. Daher existieren Haufen nicht.' Die Unfähigkeit, eine genaue Schwelle zu definieren, negiert nicht das Konzept.","konditional"
63,"Zirkelschluss (Petitio Principii)","Ein Argument, bei dem die Schlussfolgerung in einer der Prämissen angenommen wird. Es ist eine Form des zirkulären Denkens, das keine echten Beweise liefert, da es im Wesentlichen argumentiert, dass eine Aussage wahr ist, weil sie wahr ist.","'Die Bibel ist das Wort Gottes, weil es so in der Bibel steht, und Gott würde nicht lügen.' Die Prämisse (die Bibel ist wahr) ist auch die Schlussfolgerung.","konditional"
64,"Voreilige Verallgemeinerung","Dieser Trugschluss besteht darin, eine weitreichende Schlussfolgerung auf der Grundlage einer kleinen oder nicht repräsentativen Stichprobengröße zu ziehen. Die Schlussfolgerung ist ein Sprung, der nicht durch die Beweise gerechtfertigt ist.","'Ich habe zwei Leute aus New York getroffen und beide waren unhöflich. Daher sind alle aus New York unhöflich.' Diese Schlussfolgerung basiert auf einer anekdotischen Stichprobe von zwei Personen.","konditional"
65,"Kein wahrer Schotte","Eine Art, Beweise neu zu interpretieren, um die Widerlegung der eigenen Position zu verhindern. Ein Argumentierender, der diesen Trugschluss verwendet, modifiziert seine Behauptung als Reaktion auf ein Gegenbeispiel, indem er den spezifischen Fall ohne Rechtfertigung ausschließt.","'Person A: 'Kein Schotte tut Zucker in seinen Haferbrei.' Person B: 'Aber mein Onkel Angus ist Schotte und er tut Zucker in seinen Haferbrei.' Person A: 'Ah, aber kein *wahrer* Schotte tut Zucker in seinen Haferbrei.''","konditional"
66,"Äquivokation","Die irreführende Verwendung eines Begriffs mit mehr als einer Bedeutung oder einem Sinn. Sie tritt oft in Syllogismen auf, bei denen ein Schlüsselbegriff die Bedeutung wechselt.","'Das Schild sagte 'Fine for parking here' (Parken hier in Ordnung/gebührenpflichtig), und da es in Ordnung war, parkte ich dort.' Dies spielt mit dem Wort 'fine', das 'akzeptabel' oder 'eine Geldstrafe' bedeuten kann.","konditional"
67,"Amphibolie","Ein Trugschluss der Mehrdeutigkeit, bei dem die Mehrdeutigkeit nicht in einem Wort oder einer Phrase liegt, sondern in der grammatikalischen Struktur eines Satzes. Der Satz kann auf mehr als eine Weise interpretiert werden.","'Das Orakel sagte Krösus, dass er, wenn er in den Krieg mit Persien zöge, ein mächtiges Reich zerstören würde.' Krösus zog in den Krieg und zerstörte sein eigenes mächtiges Reich. Die Aussage war mehrdeutig.","konditional"
68,"Rosinenpicken (Unterdrückte Beweise)","Die Handlung, auf Einzelfälle oder Daten hinzuweisen, die eine bestimmte Position zu bestätigen scheinen, während ein signifikanter Teil verwandter Fälle oder Daten, die dieser Position widersprechen könnten, ignoriert wird.","'Ein Politiker hebt eine einzelne Stadt hervor, in der seine neue Wirtschaftspolitik erfolgreich war, während er absichtlich die zehn anderen Städte nicht erwähnt, in denen dieselbe Politik gescheitert ist.'","konditional"
69,"Sonderbehandlung","Dieser Trugschluss tritt auf, wenn jemand Standards oder Regeln auf andere Personen anwendet, während er sich selbst oder seine eigenen Umstände von denselben Regeln ohne angemessene Rechtfertigung ausnimmt.","'Ja, ich glaube an die Meinungsfreiheit für alle, aber die Ansichten meines Gegners sind so gefährlich, dass sie auf diesem Campus nicht erlaubt sein sollten.' Dies schafft eine besondere Ausnahme.","konditional"
70,"Falsche Äquivalenz","Ein Argument oder Vergleich, der eine Situation beschreibt, in der eine logische und scheinbare Äquivalenz besteht, obwohl in Wirklichkeit keine besteht. Er vergleicht oft ein geringfügiges Vergehen mit einer großen Gräueltat.","'Die Person, die illegal einen Film heruntergeladen hat, ist genauso schlimm wie der CEO, der Millionen veruntreut hat. Sie sind beide Diebe.' Dies setzt fälschlicherweise zwei Handlungen von sehr unterschiedlichem Ausmaß gleich.","konditional"
71,"Argument zur Mäßigung (Falscher Kompromiss)","Der Trugschluss, dass die Wahrheit immer in der Mitte von zwei Gegensätzen liegt. Während Kompromisse nützlich sein können, garantieren sie keine logisch fundierte Schlussfolgerung.","'Eine Person sagt, der Himmel sei blau, und eine andere sagt, der Himmel sei gelb. Daher muss die Wahrheit sein, dass der Himmel grün ist.' Dies ist trügerisch, weil eine der Ausgangspositionen sachlich richtig ist.","konditional"
72,"Verdinglichung (Hypostasierung)","Dies ist ein Trugschluss der Mehrdeutigkeit, bei dem eine Abstraktion (ein abstrakter Glaube oder ein hypothetisches Konstrukt) so behandelt wird, als wäre sie ein konkretes, reales Ereignis oder eine physische Entität.","'Die Gerechtigkeit verlangt, dass wir die Schuldigen bestrafen.' Hier wird von 'Gerechtigkeit' als einem konkreten Akteur gesprochen, der Forderungen stellen kann, obwohl es sich tatsächlich um ein abstraktes Konzept handelt.","konditional"
73,"Psychologen-Trugschluss","Dies geschieht, wenn ein Beobachter annimmt, dass seine subjektive Interpretation eines Ereignisses dieselbe ist wie die subjektive Erfahrung der an dem Ereignis beteiligten Person.","'Ein Therapeut, der sieht, wie ein Klient lächelt, wenn er über ein Trauma spricht, schließt daraus: 'Er muss Freude an seinem vergangenen Leid finden.'' Der Therapeut projiziert eine Standardinterpretation eines Lächelns.","konditional"
74,"Argument aus dem Schweigen","Ein Trugschluss, bei dem eine Schlussfolgerung auf der Abwesenheit von Beweisen anstatt auf deren Vorhandensein beruht. Er geht davon aus, dass, wenn eine Quelle etwas nicht erwähnt hat, es nicht passiert sein muss.","'Herodot, der große Historiker, erwähnt die Pyramiden von Gizeh in seinen Schriften über Ägypten nie. Daher müssen sie nicht da gewesen sein, als er sie besuchte.'","konditional"
75,"Konjunktions-Trugschluss","Die Annahme, dass ein Ergebnis, das mehrere spezifische Bedingungen erfüllt, wahrscheinlicher ist als ein Ergebnis, das eine einzige, allgemeinere Bedingung erfüllt.","'Auf die Frage, was wahrscheinlicher ist: 'Ein Mann wird einen Herzinfarkt haben' oder 'Ein Mann, der über 55 ist, übergewichtig ist und raucht, wird einen Herzinfarkt haben', wählen viele die zweite Option, obwohl die erste Gruppe logischerweise die zweite einschließt.'","konditional"
76,"Basisraten-Trugschluss (als Trugschluss)","Dieser Trugschluss besteht darin, statistische Basisrateninformationen zu ignorieren und sich stattdessen auf spezifische, oft anekdotische Informationen zu konzentrieren, um ein Argument aufzubauen.","'Wenn Sie einen ruhigen Mann sehen, der Gedichte mag, ist es wahrscheinlicher, dass er ein Professor für Klassische Philologie oder ein LKW-Fahrer ist? Für 'Professor' zu argumentieren, ignoriert die weitaus größere Anzahl von LKW-Fahrern (die Basisrate).'","konditional"
77,"Ankläger-Trugschluss","Ein Trugschluss der statistischen Argumentation, bei dem die Wahrscheinlichkeit eines zufälligen Treffers als die Wahrscheinlichkeit der Unschuld des Angeklagten angenommen wird. Er verwechselt P(Beweis|Unschuldig) mit P(Unschuldig|Beweis).","'Es gibt eine Chance von eins zu einer Million, dass die DNA des Angeklagten übereinstimmt, wenn er unschuldig wäre. Daher gibt es eine Chance von eins zu einer Million, dass er unschuldig ist.' Dies ist falsch.","konditional"
78,"Suggestivfrage","Eine Frage, die eine umstrittene oder ungerechtfertigte Annahme enthält (z. B. eine Schuldvermutung). Die direkte Beantwortung einer solchen Frage impliziert die Zustimmung zu der Annahme.","'Haben Sie aufgehört, bei Ihren Prüfungen zu schummeln?' Diese Frage setzt voraus, dass die Person in der Vergangenheit geschummelt hat. Entweder eine 'Ja'- oder 'Nein'-Antwort ist ein Schuldeingeständnis.","konditional"
79,"Doppelbindung","Ein rhetorisches Mittel, bei dem einer Person zwei Wahlmöglichkeiten geboten werden, aber beide Wahlmöglichkeiten zum selben unerwünschten Ergebnis für sie führen und sie effektiv in eine Falle locken.","'Ein Manager sagt zu einem Mitarbeiter: 'Ich brauche Sie, um durchsetzungsfähiger zu sein, aber stellen Sie meine Autorität nicht in Frage.' Der Mitarbeiter wird kritisiert, egal ob er unabhängig handelt oder passiv bleibt.'","konditional"
80,"Framing-Effekt (als Trugschluss)","Der Trugschluss, eine Schlussfolgerung zu manipulieren, indem identische Informationen auf unterschiedliche Weise präsentiert werden.","'Einer Gruppe wird gesagt, ein neues Verfahren habe eine '90%ige Erfolgsquote', während einer anderen gesagt wird, es habe eine '10%ige Misserfolgsquote'. Zu argumentieren, das eine sei besser als das andere, ist ein Trugschluss.'","konditional"
81,"Motte-und-Bailey-Trugschluss","Eine rhetorische Strategie, bei der ein Argumentierender zwei Positionen vermischt: eine bescheidene und leicht zu verteidigende ('die Motte') und eine umstrittenere ('der Bailey'). Wenn er für den Bailey angegriffen wird, zieht er sich in die Motte zurück.","'Jemand argumentiert für den 'Bailey': 'Die Gesellschaft sollte radikal umstrukturiert werden, um alle Hierarchien zu beseitigen.' Wenn er herausgefordert wird, zieht er sich in die 'Motte' zurück: 'Alles, was ich sage, ist, wir sollten netter zueinander sein.''","konditional"
82,"Falsche Analogie","Dieser Trugschluss besteht darin anzunehmen, dass, weil zwei Dinge in einem oder mehreren Aspekten ähnlich sind, sie notwendigerweise in einem anderen, oft entscheidenden Aspekt ähnlich sind. Die Analogie ist nicht stark genug, um die Schlussfolgerung zu stützen.","'Eine Regierung sollte wie ein Unternehmen gewinnorientiert geführt werden.' Dies ist eine schwache Analogie, da die Hauptverantwortung einer Regierung nicht gewinnorientiert ist.","konditional"
83,"Appell an den Abschluss","Das Argument, dass eine Schlussfolgerung akzeptiert werden muss, weil sie ein Gefühl der Endgültigkeit oder des Abschlusses für ein komplexes oder beunruhigendes Thema bietet. Das Bedürfnis nach Abschluss wird über die Beweise gestellt.","'Dieser Mordfall dauert schon zu lange; wir müssen den aktuellen Verdächtigen verurteilen, damit die Familie einen Abschluss finden kann.' Das Verlangen nach Abschluss ist kein gültiger Grund zur Verurteilung.","konditional"
84,"Zirkuläre Behauptung","Eine Form des Zirkelschlusses, bei der die Prämisse eines Arguments nur eine Neuformulierung der Schlussfolgerung ist, oft in leicht abgewandelten Worten.","'Unser Produkt ist das beste auf dem Markt, weil kein anderes Produkt ihm überlegen ist.' Die Prämisse ('kein anderes Produkt ist überlegen') ist nur eine andere Art, die Schlussfolgerung zu sagen.","konditional"
85,"Trugschluss des ausgeschlossenen Mittleren","Eine spezifische Form eines falschen Dilemmas, bei der angenommen wird, dass nur zwei extreme, gegensätzliche Positionen die einzigen Optionen sind, während die Möglichkeit gemäßigter Ansichten ignoriert wird.","'Wenn Sie dieses neue Sicherheitsgesetz mit seiner invasiven Überwachung nicht unterstützen, müssen Sie wollen, dass die Terroristen gewinnen.' Dies stellt nur die beiden Extreme dar und schließt jede nuancierte Position aus.","konditional"
86,"Bejahung des Konsequens","Ein formaler Trugschluss, bei dem aus der ursprünglichen Aussage das Gegenteil gefolgert wird. Das Argument hat die ungültige Form: Wenn P, dann Q. Q ist wahr. Also ist P wahr.","'Wenn es regnet, ist die Straße nass. Die Straße ist nass. Also muss es regnen.' Dies ist trügerisch, weil die Straße von einem Straßenreiniger nass sein könnte.","formal"
87,"Verneinung des Antezedens","Ein formaler Trugschluss, bei dem aus der ursprünglichen Aussage das Inverse gefolgert wird. Das Argument hat die ungültige Form: Wenn P, dann Q. P ist nicht wahr. Also ist Q nicht wahr.","'Wenn Sie einen Führerschein haben, sind Sie über 16. Sie haben keinen Führerschein. Also sind Sie nicht über 16.' Dies ist falsch; ein 25-Jähriger könnte einfach keinen Führerschein haben.","formal"
88,"Trugschluss des unverteilten Mittleren","Ein formaler Trugschluss in einem kategorischen Syllogismus, bei dem der mittlere Begriff (der die beiden Prämissen verbindet) nicht verteilt ist, d.h. er bezieht sich nicht auf alle Mitglieder seiner Kategorie.","'Alle Hunde sind Säugetiere. Alle Katzen sind Säugetiere. Also sind alle Hunde Katzen.' Hier ist 'Säugetiere' der unverteilte mittlere Begriff.","formal"
89,"Argument aus dem Trugschluss (Trugschluss des Trugschlusses)","Der formale Trugschluss, ein Argument zu analysieren und daraus zu schließen, dass, da es einen Trugschluss enthält, seine Schlussfolgerung falsch sein muss. Ein trügerisches Argument kann zufällig zu einer wahren Schlussfolgerung gelangen.","'Person A: 'Alle Katzen sind Tiere. Ginger ist ein Tier. Also ist Ginger eine Katze.' Person B: 'Sie haben einen Trugschluss begangen. Also ist Ginger keine Katze.' Die Schlussfolgerung könnte trotzdem wahr sein.'","formal"
90,"Existenzieller Trugschluss","Ein formaler Trugschluss, bei dem eine Schlussfolgerung, die Existenz behauptet, aus Prämissen gezogen wird, die keine Existenz behaupten.","'Alle Einhörner haben Hörner. Alle Einhörner sind magisch. Also haben einige magische Kreaturen Hörner.' Das Argument ist formal gültig, aber trügerisch, weil es aus Prämissen über eine nicht existierende Klasse etwas Existierendes schließt.","formal"
91,"Modaler Trugschluss","Ein Trugschluss in der Modallogik, bei dem eine Aussage über Möglichkeit oder Notwendigkeit verwechselt wird. Eine häufige Form ist die Verwechslung von 'Es ist nicht notwendigerweise wahr, dass P' mit 'Es ist notwendigerweise wahr, dass nicht-P'.","'Der Präsident wird notwendigerweise über 35 sein. John ist über 35. Also ist John notwendigerweise der Präsident.' Dies verwechselt eine notwendige Eigenschaft des Präsidenten damit, Johns Präsidentschaft zu einer Notwendigkeit zu machen.","formal"
92,"Kessel-Logik","Die Verwendung mehrerer, inkonsistenter Argumente zur Verteidigung eines einzigen Punktes. Der Name stammt von einer Geschichte, in der ein Mann die Rückgabe eines beschädigten Kessels verteidigt, indem er argumentiert: (1) er hat ihn nie geliehen, (2) er war bereits beschädigt, und (3) er war in perfektem Zustand, als er ihn zurückgab.","'Ein des Betrugs beschuldigter Student argumentiert: 'Ich habe nicht geschummelt. Außerdem habe ich nur bei einer Frage auf das Blatt meines Nachbarn geschaut. Und sowieso haben alle anderen auch geschummelt.''","formal"
93,"Non Sequitur","Lateinisch für 'es folgt nicht', dies ist ein allgemeiner Begriff für eine Schlussfolgerung, die nicht logisch aus den Prämissen folgt. Die Verbindung zwischen Prämisse und Schlussfolgerung fehlt oder ist unsinnig.","'Mein Gegner genießt klassische Musik, und das taten auch die römischen Kaiser. Er wäre daher ein tyrannischer Führer.' Es gibt keine logische Verbindung zwischen Musikgeschmack und Führungsstil.","formal"
94,"Bejahung einer Disjunktion","Ein formaler Trugschluss mit der Struktur: P oder Q. P ist wahr. Also ist Q nicht wahr. Dies ist nur ein Trugschluss, wenn das 'oder' inklusiv ist (d.h. sowohl P als auch Q könnten wahr sein).","'Die Speisekarte sagt, dieses Gericht kommt mit Suppe oder Salat. Ich nehme die Suppe. Also nehme ich nicht den Salat.' (Viele Restaurants erlauben beides).","formal"
95,"Verneinung einer Konjunktion","Ein formaler Trugschluss mit der Struktur: Es ist nicht der Fall, dass (P und Q). Nicht P. Also Q. Der Fehler besteht darin anzunehmen, dass einer der Konjunkte wahr sein muss, wenn die Konjunktion falsch ist.","'Ein Angeklagter kann nicht gleichzeitig des Mordes und des Totschlags schuldig sein. Der Angeklagte ist nicht des Mordes schuldig. Also muss er des Totschlags schuldig sein.' (Der Angeklagte könnte beider unschuldig sein).","formal"
96,"Trugschluss der ausschließlichen Prämissen","Ein formaler Trugschluss in einem kategorischen Syllogismus, bei dem beide Prämissen negativ sind (z. B. 'kein X ist Y' und 'kein Z ist X'). Aus zwei negativen Prämissen kann keine gültige Schlussfolgerung gezogen werden.","'Keine Fische sind Säugetiere. Einige Hunde sind keine Fische. Also sind einige Hunde keine Säugetiere.' (Die Schlussfolgerung ist falsch, und die Argumentstruktur ist ungültig).","formal"
97,"Trugschluss der vier Begriffe","Ein formaler Trugschluss, der auftritt, wenn ein Syllogismus vier oder mehr Begriffe anstelle der erforderlichen drei hat. Dies geschieht oft durch Äquivokation.","'Alle Flüsse haben Ufer (banks). Alle Banken (banks) haben Geld. Also haben alle Flüsse Geld.' (Das Wort 'bank' wird mit zwei verschiedenen Bedeutungen verwendet).","formal"
98,"Unerlaubter Major","Ein formaler Trugschluss, bei dem der Hauptbegriff (das Prädikat der Schlussfolgerung) in der Schlussfolgerung verteilt ist, aber nicht in der Hauptprämisse.","'Alle Katzen sind Säugetiere. Keine Hunde sind Katzen. Also sind keine Hunde Säugetiere.' ('Säugetiere' ist in der Schlussfolgerung verteilt, aber nicht in der Prämisse).","formal"
99,"Unerlaubter Minor","Ein formaler Trugschluss, bei dem der Nebenbegriff (das Subjekt der Schlussfolgerung) in der Schlussfolgerung verteilt ist, aber nicht in der Nebenprämisse.","'Alle Aktivisten sind leidenschaftliche Menschen. Alle Aktivisten sind Bürger. Also sind alle Bürger leidenschaftliche Menschen.' ('Bürger' ist in der Schlussfolgerung verteilt, aber nicht in der Prämisse).","formal"
100,"Maskierter-Mann-Trugschluss (Intensionaler Trugschluss)","Dieser formale Trugschluss beinhaltet eine ungültige Substitution von Identitäten in einer Aussage über Glauben oder Wissen. Das Wissen einer Person über ein Objekt ist keine Eigenschaft des Objekts selbst.","'Prämisse 1: Ich weiß, wer Bruce Wayne ist. Prämisse 2: Ich weiß nicht, wer Batman ist. Schlussfolgerung: Also ist Bruce Wayne nicht Batman.' (Das Argument scheitert, weil 'wissen' sich auf meinen mentalen Zustand bezieht).","formal"
101,"Quantoren-Verschiebungs-Trugschluss","Ein formaler Trugschluss, bei dem die Quantoren in einem Argument (wie 'alle', 'einige' oder 'keine') auf ungültige Weise vertauscht werden.","'Für jede Person gibt es einen Traum, den sie hegt. Daher gibt es einen Traum, den jede Person hegt.' Dies verschiebt fälschlicherweise von jeder Person, die ihren eigenen Traum hat, zu allen Menschen, die einen einzigen Traum teilen.","formal"
102,"Trugschluss des gestohlenen Konzepts","Die Handlung, ein Konzept zu verwenden, während man die Gültigkeit der fundamentaleren Konzepte, von denen es logisch abhängt, ignoriert, widerspricht oder leugnet.","'Eine Person argumentiert: 'Ich bin sicher, dass nichts sicher sein kann.' Um dieser Behauptung sicher zu sein, muss sie sich auf das Konzept der Sicherheit verlassen, das sie gleichzeitig leugnet.'","formal"
103,"Definistischer Trugschluss","Dieser Trugschluss besteht darin, einen Begriff auf eine voreingenommene oder tendenziöse Weise zu definieren, um die eigene Position in einem Argument zu begünstigen, wodurch ihre Schlussfolgerung per Definition wahr wird.","'In einer Debatte über Freiheit argumentiert jemand: 'Wahre Freiheit ist nicht, zu tun, was man will, sondern zu tun, was moralisch richtig ist.' Er argumentiert dann, seine Position sei moralisch richtig und macht sie so zu einem Akt 'wahrer Freiheit' nach seiner eigenen Definition.'","formal"
104,"Vakue Wahrheit","Eine Aussage, die technisch wahr ist, aber keine nützliche Information vermittelt, weil die Prämisse (der 'wenn'-Teil) leer ist oder auf nichts zutrifft. Sie ist nur wahr, weil die Bedingung nie erfüllt wird.","'Die Aussage 'Alle meine Autos, die aus massivem Gold sind, sind derzeit in meiner Garage geparkt' ist vaku wahr, weil der Sprecher keine Autos aus massivem Gold besitzt.'","formal"
105,"Appell an die Leistung","Dieser Trugschluss tritt auf, wenn ein Argumentierender die angebliche Gültigkeit seines Arguments auf seinen eigenen oder den Leistungen anderer stützt, die für die Substanz des Arguments irrelevant sind.","'Ich habe ein Milliarden-Dollar-Unternehmen von Grund auf aufgebaut, also sollten Sie auf meinen Rat zur Außenpolitik hören.' Der Geschäftserfolg des Sprechers verleiht ihm keine Expertise in internationalen Beziehungen.","relevanz"
106,"Argument aus der Wiederholung (Ad Nauseam)","Dieser Trugschluss besteht darin, eine Behauptung immer wieder zu wiederholen, anstatt bessere Beweise zu liefern. Die Wiederholung kann die Behauptung glaubwürdiger erscheinen lassen, unabhängig von ihrer Wahrhaftigkeit.","'Eine politische Kampagne strahlt wiederholt einen Werbespot mit einem einfachen Slogan aus, der einen Gegner angreift. Nachdem sie ihn dutzende Male gehört haben, könnten die Wähler anfangen, ihn zu glauben, ohne Beweise gesehen zu haben.'","relevanz"
107,"Falsche Zuschreibung","Dieser Trugschluss besteht darin, eine unzuverlässige, voreingenommene, irrelevante oder sogar erfundene Quelle anzuführen, um ein Argument zu stützen. Das Ziel ist es, den Anschein von Autorität oder Beweisen zu erwecken, wo keine sind.","'Laut einer Studie des Instituts für Getränkeforschung ist das Trinken von drei Limonaden pro Tag gesund.' Das 'Institut' könnte eine von Limonadenfirmen finanzierte Frontgruppe sein.","relevanz"
108,"Gedanken-beendendes Klischee","Eine häufig verwendete Phrase oder Volksweisheit, die verwendet wird, um eine Debatte zu beenden oder ein komplexes Thema abzutun und so weiteres kritisches Denken zu verhindern. Sie liefert eine einfache Antwort, vermeidet aber eine echte Auseinandersetzung.","'Bei der Diskussion über die Komplexität eines sozialen Problems beendet jemand das Gespräch mit den Worten: 'Es ist, wie es ist.' Dieses Klischee unterbindet jede weitere Analyse.'","relevanz"
109,"Appell an die Komplexität","Dieser Trugschluss behauptet, dass eine Schlussfolgerung falsch ist, weil das sie stützende Argument für das Publikum (oder den Argumentierenden) zu komplex ist, um es zu verstehen. Er verwechselt Unverständnis mit Ungültigkeit.","'Das wissenschaftliche Papier, das den Klimawandel erklärt, ist voller komplexer Modelle, denen ich nicht folgen kann, also glaube ich nicht, dass die Schlussfolgerungen vertrauenswürdig sind.'","relevanz"
110,"Dunning-Kruger-Effekt (als Trugschluss)","Eine kognitive Voreingenommenheit, bei der Menschen mit geringer Fähigkeit bei einer Aufgabe ihre Fähigkeit überschätzen. Es wird zu einem Trugschluss, wenn sie selbstbewusst Argumente in einem Bereich vorbringen, in dem ihnen Wissen fehlt.","'Eine Person, die nur ein paar Online-Artikel über Impfstoffe gelesen hat, argumentiert selbstbewusst gegen einen Epidemiologen und glaubt, ihr eigenes Verständnis sei überlegen.'","relevanz"
111,"Reaktanz (als Trugschluss)","Der Drang, das Gegenteil von dem zu tun, was jemand von Ihnen möchte. Dies wird zu einem Trugschluss, wenn es die alleinige Grundlage für die Ablehnung eines Arguments bildet, anstatt einer rationalen Bewertung seiner Vorzüge.","'Ein Teenager beschließt, mit dem Rauchen anzufangen, gerade weil seine Eltern und alle Gesundheitswarnungen es ihm verbieten. Die Entscheidung ist eine Reaktion auf die wahrgenommene Kontrolle, keine rationale Bewertung.'","relevanz"
112,"Zwei Unrechte ergeben ein Recht","Dieser Trugschluss tritt auf, wenn eine Person versucht, eine Handlung gegen eine andere Person zu rechtfertigen, indem sie behauptet, die andere Person habe dasselbe getan oder würde es tun.","'Ja, ich habe sein Auto zerkratzt, aber er hat mich zuerst betrogen!' Das anfängliche Fehlverhalten rechtfertigt den Vergeltungsakt des Vandalismus weder moralisch noch rechtlich.","relevanz"
113,"Appell an das Gesetz","Argumentieren, dass etwas moralisch richtig ist, weil es legal ist, oder moralisch falsch, weil es illegal ist. Dieser Trugschluss setzt rechtliche Standards mit ethischen Standards gleich, die nicht immer dieselben sind.","'Es ist nichts Falsches an der Art und Weise, wie unser Unternehmen seine ausländischen Arbeiter behandelt, weil wir alle lokalen Arbeitsgesetze befolgen.' Die Legalität der Handlungen macht sie nicht automatisch ethisch.","relevanz"
114,"Chronologischer Snobismus","Das Argument, dass das Denken, die Kunst oder die Wissenschaft einer früheren Zeit von Natur aus minderwertig gegenüber der Gegenwart ist, einfach aufgrund ihrer zeitlichen Abfolge.","'Warum sollten Sie antike Philosophie lesen? Die moderne Wissenschaft hat all dieses altmodische Denken bereits widerlegt.' Dies verwirft ganze Denkrichtungen aufgrund ihres Alters.","relevanz"
115,"Höflings-Antwort","Ein Trugschluss, bei dem eine Behauptung abgetan wird, indem behauptet wird, dem Kritiker fehle es an ausreichendem Wissen oder Referenzen, um die Behauptung aufzustellen, ohne auf die Substanz der Kritik selbst einzugehen.","'Nachdem ein Außenstehender auf einen Widerspruch in einer Wirtschaftstheorie hingewiesen hat, antwortet ein Ökonom: 'Sie können das unmöglich verstehen; Sie haben nicht jahrelang fortgeschrittene Ökonometrie studiert wie ich.''","relevanz"
116,"Mit schwachem Lob verdammen","Eine Person oder Idee anzugreifen, indem man formell Lob ausspricht, aber für eine so geringfügige oder triviale Qualität, dass dies darauf hindeutet, dass die Person oder Idee keine wesentlichen wertvollen Eigenschaften hat.","'Auf die Frage nach einem Empfehlungsschreiben schreibt ein Manager: 'Ich kann bezeugen, dass er immer pünktlich zur Arbeit war.' Das Lob ist so schwach, dass es impliziert, dass es nichts anderes Positives zu sagen gibt.'","relevanz"
117,"Galileo-Gambit","Das Argument, dass, weil die eigenen unkonventionellen Ideen von der Mehrheit verspottet oder abgelehnt werden, sie richtig sein müssen, in Analogie zu historischen Figuren wie Galileo.","'Sie haben alle über meine Theorie gelacht, dass die Erde hohl ist, aber sie haben auch über Galileo gelacht! Meine Theorie muss wahr sein.' Die Tatsache, dass einige richtige Ideen einst verspottet wurden, bedeutet nicht, dass alle verspotteten Ideen richtig sind.","relevanz"
118,"Gish-Galopp","Eine rhetorische Technik, bei der eine Person in einer Debatte versucht, ihren Gegner zu überwältigen, indem sie eine übermäßige Anzahl von Argumenten liefert, unabhängig von deren Genauigkeit oder Relevanz.","'In einer Debatte rattert eine Person in einer zweiminütigen Rede Dutzende von irreführenden Statistiken und Halbwahrheiten herunter. Ihr Gegner ist nicht in der Lage, auf die Flut von Fehlinformationen einzugehen.'","relevanz"
119,"Ich habe ein Recht auf meine Meinung","Eine Erklärung, die verwendet wird, um eine Debatte zu beenden oder eine Überzeugung vor Kritik zu schützen. Während Menschen ein Recht auf ihre Meinung haben, wird dieser Satz trügerisch verwendet, um zu implizieren, dass alle Meinungen gleichermaßen gültig sind.","'Nachdem ihre Behauptungen über Astrologie mit Beweisen widerlegt wurden, schließt eine Person mit: 'Nun, das ist Ihre Ansicht. Ich habe ein Recht auf meine Meinung.''","relevanz"
120,"Den Brunnen vergiften","Eine Art von Ad-hominem-Argument, bei dem dem Publikum präventiv nachteilige Informationen über ein Ziel präsentiert werden, mit der Absicht, alles zu diskreditieren oder lächerlich zu machen, was die Zielperson sagen wird.","'Vor einer Debatte sagt ein Moderator: 'Unser nächster Redner ist ein verurteilter Verbrecher und ein bekannter Lügner. Bitte hören Sie zu, was er zu sagen hat.' Das Publikum ist nun darauf vorbereitet, dem Redner zu misstrauen.'","relevanz"
121,"Reductio ad Hitlerum","Der Versuch, die Position von jemandem zu entkräften, mit der Begründung, dass dieselbe Ansicht von Adolf Hitler oder der NSDAP vertreten wurde. Es ist eine hochentzündliche Form des Assoziations-Trugschlusses.","'Sie argumentieren für Vegetarismus? Wissen Sie, Hitler war auch Vegetarier!' Dies versucht, die Position zu beflecken, indem sie mit einer verabscheuten historischen Figur in Verbindung gebracht wird.","relevanz"
