id,name,definition,example,category
81,"Weniger-ist-besser-Effekt","Eine kognitive Verzerrung, die Menschen dazu veranlasst, eine kleinere Menge von Gegenständen einer größeren Menge vorzuziehen, auch wenn die größere Menge alle Gegenstände der kleineren Menge plus mehr enthält.","Lieber einen hochwertigen Schal als Geschenk zu erhalten als ein Geschenkset, das denselben Schal plus einen weniger begehrenswerten, billigeren Artikel enthält.","need_to_act_fast"
82,"Nivellierung und Akzentuierung","Zwei entgegengesetzte Gedächtnisverzerrungen, die im Laufe der Zeit auftreten. Nivellierung ist der Verlust von Details, während Akzentuierung die Betonung bestimmter Details ist.","Beim Nacherzählen einer Geschichte könnte eine Person geringfügige Details vergessen (Nivellierung), aber den aufregendsten Teil übertreiben (Akzentuierung).","what_to_remember"
83,"Spiegel-Selbst","Ein sozialpsychologisches Konzept, das besagt, dass das Selbst einer Person aus den zwischenmenschlichen Interaktionen der Gesellschaft und den Wahrnehmungen anderer erwächst.","Wenn die Leute Sie konsequent als Führungspersönlichkeit behandeln, können Sie anfangen, sich selbst als eine zu sehen und entsprechend zu handeln.","not_enough_meaning"
84,"Verlustaversion","Die Tendenz, Verluste lieber zu vermeiden, als gleichwertige Gewinne zu erzielen. Es ist besser, 5€ nicht zu verlieren, als 5€ zu finden.","Mehr Schmerz durch den Verlust von 100€ zu empfinden als Freude durch den Gewinn von 100€.","need_to_act_fast"
85,"Mere-Exposure-Effekt (Effekt der bloßen Darbietung)","Wir neigen dazu, eine Vorliebe für Dinge zu entwickeln, nur weil wir mit ihnen vertraut sind.","Ein neues Lied mag Ihnen beim ersten Hören nicht gefallen, aber nachdem Sie es mehrmals im Radio gehört haben, fangen Sie an, es zu genießen.","too_much_information"
86,"Fehlinformationseffekt","Das Gedächtnis wird aufgrund von Informationen nach dem Ereignis ungenauer.","Ein Zeuge, der gefragt wird: 'Wie schnell fuhren die Autos, als sie ineinander krachten?', könnte sich später daran erinnern, dass die Autos schneller fuhren, als sie tatsächlich waren.","what_to_remember"
87,"Moralische Selbstlizenzierung","Die Tendenz einer Erfolgsbilanz der Nicht-Vorverurteilung, nachfolgende Vorurteile zu verstärken. Eine Person, die eine moralische Handlung vollzogen hat, kann sich fühlen, als hätte sie eine 'Lizenz', eine unmoralische zu begehen.","Nach einer Spende für wohltätige Zwecke könnte sich eine Person gerechtfertigt fühlen, später am Tag unhöflich zu einem Dienstleister zu sein.","not_enough_meaning"
88,"Morisches Glück","Das Phänomen, bei dem einem moralischen Akteur moralische Schuld oder Lob für eine Handlung oder deren Konsequenzen zugewiesen wird, auch wenn klar ist, dass dieser Akteur weder über die Handlung noch über deren Konsequenzen die volle Kontrolle hatte.","Ein betrunkener Fahrer, der sicher nach Hause kommt, wird weniger hart beurteilt als einer, der einen Fußgänger anfährt, obwohl seine Entscheidung, betrunken zu fahren, ebenso rücksichtslos war.","not_enough_meaning"
89,"Naiver Zynismus","Die kognitive Verzerrung, die auftritt, wenn Menschen bei anderen mehr egozentrische Voreingenommenheit erwarten, als tatsächlich der Fall ist.","Zu glauben, dass eine Person, die eine freundliche Tat vollbringt, ein egoistisches Hintergedanken haben muss.","not_enough_meaning"
90,"Naiver Realismus","Die menschliche Tendenz zu glauben, dass wir die Welt um uns herum objektiv sehen und dass Menschen, die mit uns nicht übereinstimmen, uninformiert, irrational oder voreingenommen sein müssen.","Zu glauben, dass die eigenen politischen Meinungen auf reinen Fakten und Logik beruhen und dass jeder, der anderer Meinung ist, einfach falsch informiert ist.","not_enough_meaning"
91,"Negativitätsverzerrung","Negative Ereignisse und Emotionen haben einen größeren Einfluss auf unseren psychologischen Zustand und unsere Prozesse als neutrale oder positive.","Sie erhalten zehn positive Kommentare und einen negativen Kommentar zu einer Präsentation. Sie werden sich wahrscheinlich auf das einzige negative Feedback konzentrieren.","too_much_information"
92,"Wahrscheinlichkeitsvernachlässigung","Die Tendenz, die Wahrscheinlichkeit bei einer Entscheidung unter Unsicherheit vollständig zu ignorieren.","Sich für das Autofahren anstelle des Fliegens zu entscheiden, aus Angst vor Flugzeugabstürzen, trotz der statistisch weitaus höheren Wahrscheinlichkeit eines Autounfalls.","not_enough_meaning"
93,"Normalitätsverzerrung","Die Weigerung, für eine Katastrophe zu planen oder darauf zu reagieren, die noch nie zuvor passiert ist.","Einwohner einer Küstenstadt, die Hurrikan-Evakuierungswarnungen ignorieren, weil sie 'hier noch nie einen schlimmen Sturm hatten'.","need_to_act_fast"
94,"Nicht-hier-erfunden-Syndrom","Abneigung gegen den Kontakt mit oder die Verwendung von Produkten, Forschung, Standards oder Wissen, das außerhalb einer Gruppe entwickelt wurde.","Das Ingenieurteam eines Unternehmens, das darauf besteht, ein neues Software-Tool von Grund auf neu zu entwickeln, obwohl bereits ein perfekt gutes und billigeres Drittanbieter-Tool existiert.","not_enough_meaning"
95,"Unterlassungsverzerrung","Die Tendenz, schädliche Handlungen als schlimmer oder weniger moralisch zu beurteilen als ebenso schädliche Unterlassungen (Nichthandeln).","Eine Person, die einen Patienten sterben lässt, indem sie kein lebensrettendes Medikament verabreicht, wird oft weniger hart beurteilt als eine Person, die ein tödliches Medikament verabreicht, auch wenn das Ergebnis dasselbe ist.","too_much_information"
96,"Optimismus-Verzerrung","Die Tendenz, übermäßig optimistisch zu sein und günstige und erfreuliche Ergebnisse zu überschätzen.","Eine Person könnte glauben, dass sie weniger wahrscheinlich ein negatives Ereignis wie einen Autounfall oder eine schwere Krankheit erleben wird als andere Menschen.","need_to_act_fast"
97,"Vogel-Strauß-Effekt","Die Entscheidung, gefährliche oder negative Informationen zu ignorieren, indem man den Kopf in den Sand steckt, wie ein Strauß.","Ein Anleger, der es vermeidet, sein Portfolio während eines Marktabschwungs zu überprüfen, in der Hoffnung, das Problem werde von selbst verschwinden.","too_much_information"
98,"Fremdgruppen-Homogenitäts-Verzerrung","Die Wahrnehmung von Mitgliedern der Fremdgruppe als ähnlicher zueinander als Mitglieder der Eigengruppe.","Zu glauben, dass 'alle Fans dieser rivalisierenden Sportmannschaft gleich sind', während man große Vielfalt unter den Fans der eigenen Mannschaft sieht.","not_enough_meaning"
99,"Selbstüberschätzungseffekt","Die Tendenz, dass das subjektive Vertrauen einer Person in ihre Urteile zuverlässig größer ist als ihre objektive Genauigkeit.","Ein Student, der sich sicher ist, eine Prüfung mit Bestnote bestanden zu haben, ist überrascht, als er nur eine mittelmäßige Note erhält.","need_to_act_fast"
100,"Pareidolie","Eine Art von Apophenie, es ist die Tendenz, ein spezifisches, oft bedeutungsvolles Bild in einem zufälligen oder mehrdeutigen visuellen Muster wahrzunehmen.","Den 'Mann im Mond' oder ein Gesicht in einem Stück Toast zu sehen.","not_enough_meaning"
101,"Parkinsons Gesetz der Trivialität","Die Tendenz, trivialen Themen unverhältnismäßig viel Gewicht beizumessen.","Ein Ausschuss könnte 45 Minuten damit verbringen, über die Farbe des Fahrradschuppens zu debattieren, und nur 15 Minuten über einen millionenschweren Kernreaktorvorschlag.","too_much_information"
102,"Spitze-Ende-Regel","Dass Menschen eine Erfahrung hauptsächlich danach beurteilen, wie sie sich an ihrem Höhepunkt und an ihrem Ende gefühlt haben, anstatt auf der Grundlage der Gesamtsumme oder des Durchschnitts jedes Moments.","Ein Urlaub könnte als großartig in Erinnerung bleiben, wenn er einen fantastischen letzten Tag hatte, auch wenn der größte Teil der Reise mittelmäßig war.","what_to_remember"
103,"Pessimismus-Verzerrung","Die Tendenz einiger Menschen, insbesondere derer, die an Depressionen leiden, die Wahrscheinlichkeit negativer Ereignisse, die ihnen widerfahren, zu überschätzen.","Eine Person könnte glauben, dass sie eine Prüfung mit Sicherheit nicht bestehen wird, auch wenn sie gründlich gelernt hat und gut vorbereitet ist.","need_to_act_fast"
104,"Bild-Überlegenheitseffekt","Wir erinnern uns besser an Konzepte und Ideen, wenn sie als Bilder anstatt als Text präsentiert werden.","IKEA-Anleitungen sind effektiv, weil sie auf einfachen Diagrammen anstatt auf komplexen Textbeschreibungen beruhen.","too_much_information"
105,"Placebo-Effekt","Die Tendenz, dass sich die körperliche oder geistige Gesundheit einer Person nach der Einnahme eines Placebos oder einer inerten Behandlung zu verbessern scheint.","Die Kopfschmerzen eines Patienten verschwinden nach der Einnahme einer Zuckerpille, von der er glaubt, es sei ein starkes Schmerzmittel.","not_enough_meaning"
106,"Planungsfehlschluss","Die Tendenz, die Zeit, die Kosten und die Risiken zukünftiger Handlungen zu unterschätzen und gleichzeitig die Vorteile zu überschätzen.","Zuversichtlich vorherzusagen, dass eine Hausrenovierung zwei Wochen dauern und 5.000€ kosten wird, nur damit sie zwei Monate dauert und 10.000€ kostet.","need_to_act_fast"
107,"Nachkauf-Rationalisierung (Käufer-Stockholm-Syndrom)","Die Tendenz, sich durch rationale Argumente davon zu überzeugen, dass ein Kauf ein guter Wert war.","Nach dem Kauf eines teuren Smartphones konzentrieren Sie sich auf seine positiven Eigenschaften und ignorieren seine Mängel, um sich davon zu überzeugen, dass Sie die richtige Entscheidung getroffen haben.","too_much_information"
108,"Pro-Innovations-Verzerrung","Die Tendenz, einen übermäßigen Optimismus gegenüber der Nützlichkeit einer Erfindung oder Innovation zu haben und deren Einschränkungen und Schwächen herunterzuspielen.","Zu glauben, dass eine neue Technologie alle Probleme eines Unternehmens lösen wird, ohne die Kosten für Implementierung, Schulung und potenzielle Nachteile zu berücksichtigen.","need_to_act_fast"
109,"Projektions-Verzerrung","Die Tendenz, unbewusst anzunehmen, dass andere dieselben oder ähnliche Gedanken, Überzeugungen, Werte oder Positionen teilen.","Anzunehmen, Ihre Freunde werden dasselbe scharfe Essen lieben wie Sie, und es für den ganzen Tisch zu bestellen, ohne zu fragen.","not_enough_meaning"
110,"Pseudogewissheits-Effekt","Die Tendenz, risikoscheue Entscheidungen zu treffen, wenn das erwartete Ergebnis positiv ist, aber risikofreudige Entscheidungen zu treffen, um negative Ergebnisse zu vermeiden.","Einen 'garantierten' Rabatt von 10% einer '50%igen Chance' auf einen Rabatt von 20% vorzuziehen, obwohl sie den gleichen Erwartungswert haben.","need_to_act_fast"
111,"Reaktanz","Der Drang, das Gegenteil von dem zu tun, was jemand von Ihnen möchte, aus dem Bedürfnis heraus, einem wahrgenommenen Versuch, Ihre Wahlfreiheit einzuschränken, zu widerstehen.","Ein Teenager könnte speziell mit dem Rauchen anfangen, weil seine Eltern es ihm verboten haben.","need_to_act_fast"
112,"Reaktive Abwertung","Einen Vorschlag oder ein Angebot abzuwerten, nur weil es als von einem Gegner stammend wahrgenommen wird.","Einen politischen Vorschlag automatisch abzulehnen, nur weil er von der gegnerischen Partei stammt, ohne seine Vorzüge zu berücksichtigen.","not_enough_meaning"
113,"Rezenz-Effekt","Die Tendenz, jüngere Informationen oder Ereignisse stärker zu gewichten als frühere Informationen.","Ein Manager, der einem Mitarbeiter eine Leistungsbeurteilung gibt, die stark auf seiner Arbeit im letzten Monat basiert und seine Leistung über das ganze Jahr ignoriert.","too_much_information"
114,"Reziprozität","Die soziale Norm, auf eine positive Handlung mit einer weiteren positiven Handlung und auf eine negative Handlung mit einer weiteren negativen zu reagieren.","Sich verpflichtet zu fühlen, ein Produkt von einem Verkäufer zu kaufen, der Ihnen eine kostenlose Probe gegeben hat.","need_to_act_fast"
115,"Zurückhaltungs-Verzerrung","Die Tendenz, die eigene Fähigkeit zur Zurückhaltung angesichts von Versuchungen zu überschätzen.","Eine große Tüte Chips zu kaufen und zu glauben, man werde nur eine kleine Handvoll essen, aber am Ende die ganze Tüte aufessen.","need_to_act_fast"
116,"Reim-als-Grund-Effekt","Die Tendenz, reimende Aussagen als wahrer wahrzunehmen.","Dem Sprichwort 'An apple a day keeps the doctor away' leichter zu glauben, weil es sich reimt.","not_enough_meaning"
117,"Risikokompensation (Peltzman-Effekt)","Die Tendenz, größere Risiken einzugehen, wenn die wahrgenommene Sicherheit zunimmt.","Schneller und aggressiver in einem Auto mit fortschrittlichen Sicherheitsmerkmalen wie Antiblockiersystem und Airbags zu fahren.","need_to_act_fast"
118,"Rosige Rückschau","Die Tendenz, vergangene Ereignisse positiver zu bewerten, als man sie tatsächlich bewertet hatte, als das Ereignis stattfand.","Sich an einen schwierigen Campingausflug aus der Kindheit als lustiges Abenteuer zu erinnern und den Regen, die Mücken und die unbequemen Nächte zu vergessen.","what_to_remember"
119,"Salienz-Verzerrung","Die Tendenz, sich auf die am leichtesten erkennbaren Merkmale einer Person oder eines Konzepts zu konzentrieren.","Wenn Sie über den Tod nachdenken, machen Sie sich vielleicht mehr Sorgen über einen dramatischen Haiangriff als über das wahrscheinlichere, aber weniger auffällige Risiko einer Herzerkrankung.","too_much_information"
120,"Selektive Wahrnehmung","Die Tendenz, dass Erwartungen die Wahrnehmung beeinflussen. Wir sehen, was wir erwarten zu sehen.","Fans einer Sportmannschaft sehen eher Fouls der gegnerischen Mannschaft und übersehen Fouls der eigenen.","too_much_information"
121,"Selbsttäuschung","Ein Prozess des Leugnens oder Rationalisierens der Bedeutung, Relevanz oder Wichtigkeit gegenteiliger Beweise und logischer Argumente.","Ein Raucher, der trotz Kenntnis der Gesundheitsrisiken weiterraucht und sich sagt: 'Die Statistiken gelten nicht für mich.'","not_enough_meaning"
122,"Selbstrelevanz-Effekt","Wir erinnern uns besser an Informationen, wenn wir sie in irgendeiner Weise auf uns selbst beziehen können.","Es ist wahrscheinlicher, dass Sie sich an den Geburtstag von jemandem erinnern, wenn er in der Nähe Ihres eigenen liegt.","too_much_information"
123,"Selbstwertdienliche Verzerrung","Die Tendenz, Erfolg unseren eigenen Fähigkeiten und Bemühungen zuzuschreiben, aber Misserfolg externen Faktoren zuzuschreiben.","Eine '1' in einer Prüfung zu bekommen und zu sagen 'Ich bin schlau', aber eine '6' zu bekommen und zu sagen 'der Lehrer war unfair'.","not_enough_meaning"
124,"Verzerrung durch geteilte Informationen","Die Tendenz von Gruppenmitgliedern, mehr Zeit und Energie damit zu verbringen, Informationen zu diskutieren, mit denen alle Mitglieder bereits vertraut sind.","In einem Meeting zur Entscheidung über eine Neueinstellung verbringt das Team die meiste Zeit damit, über die Universität des Kandidaten zu diskutieren, die jeder kennt, anstatt über seine einzigartigen Berufserfahrungen.","too_much_information"
125,"Soziale Vergleichsverzerrung","Die Tendenz, bei Entscheidungen potenzielle Kandidaten zu bevorzugen, die nicht mit den eigenen besonderen Stärken konkurrieren.","Ein Manager könnte zögern, einen Kandidaten einzustellen, der in einem bestimmten Bereich qualifizierter ist als er selbst.","not_enough_meaning"
126,"Soziale Erwünschtheits-Verzerrung","Die Tendenz von Umfrageteilnehmern, Fragen so zu beantworten, dass sie von anderen positiv bewertet werden.","In einer Umfrage könnten mehr Menschen behaupten, zu wählen oder für wohltätige Zwecke zu spenden, als es tatsächlich tun, weil dies sozial erwünschte Handlungen sind.","need_to_act_fast"
127,"Quellenamnesie","Die Unfähigkeit, sich daran zu erinnern, wo, wann oder wie man Wissen gelernt hat, das erworben und behalten wurde.","Sich an eine Tatsache zu erinnern, aber nicht sagen zu können, ob man sie in einem Lehrbuch gelesen, in den Nachrichten gehört oder von einem Freund erzählt bekommen hat.","what_to_remember"
128,"Spacing-Effekt (Verteilungseffekt)","Das Phänomen, bei dem das Lernen größer ist, wenn das Lernen über die Zeit verteilt wird, im Gegensatz zum Lernen der gleichen Zeitmenge in einer einzigen Sitzung.","Ein Fach eine Stunde pro Tag für eine Woche zu lernen, ist für die langfristige Beibehaltung effektiver als sieben Stunden in einer Nacht zu pauken.","what_to_remember"
129,"Spotlight-Effekt","Die Tendenz, zu überschätzen, wie sehr andere Menschen Ihr Aussehen oder Verhalten bemerken.","Sich wegen eines kleinen Flecks auf dem Hemd extrem verlegen zu fühlen und anzunehmen, jeder starre darauf, obwohl in Wirklichkeit niemand ihn bemerkt hat.","not_enough_meaning"
130,"Status-quo-Verzerrung","Die Tendenz, dass die Dinge relativ gleich bleiben sollen.","Lieber eine lang gehaltene, unterdurchschnittlich performende Investition zu behalten, als zu einer neuen mit besseren Aussichten zu wechseln.","need_to_act_fast"
131,"Stereotypisierung","Von einer Gruppe oder Person zu erwarten, dass sie bestimmte Eigenschaften hat, ohne echte Informationen über die Person zu haben.","Anzunehmen, alle Bibliothekare seien ruhig und schüchtern oder alle Bauarbeiter stark und zäh.","not_enough_meaning"
132,"Subadditivitätseffekt","Die Tendenz, die Wahrscheinlichkeit des Ganzen als geringer einzuschätzen als die Wahrscheinlichkeiten der Teile.","Die Wahrscheinlichkeit, dass eine Mannschaft eine Meisterschaft gewinnt, als geringer einzuschätzen als die Summe der Wahrscheinlichkeiten, die man ihr für den Gewinn jedes einzelnen Playoff-Spiels zuweisen würde.","not_enough_meaning"
133,"Subjektive Validierung","Die Tendenz, eine Aussage oder Information als korrekt zu akzeptieren, wenn sie für uns eine persönliche Bedeutung oder Signifikanz hat.","Menschen glauben leicht an vage Horoskopvorhersagen, weil sie leicht Beispiele aus ihrem eigenen Leben finden können, die die Aussagen zu bestätigen scheinen.","too_much_information"
134,"Suggestibilität","Die Eigenschaft, geneigt zu sein, die Vorschläge anderer anzunehmen und danach zu handeln.","Suggestivfragen eines Vernehmers können dazu führen, dass ein Zeuge falsche Details in seine Erinnerung an ein Ereignis einbaut.","what_to_remember"
135,"Survivorship-Verzerrung (Überlebens-Kurzschluss)","Sich auf die Menschen oder Dinge zu konzentrieren, die einen Prozess 'überlebt' haben, und dabei versehentlich diejenigen zu übersehen, die dies aufgrund ihrer mangelnden Sichtbarkeit nicht taten.","Die Gewohnheiten erfolgreicher Studienabbrecher wie Bill Gates und Mark Zuckerberg zu studieren und zu dem Schluss zu kommen, dass ein Studienabbruch zum Erfolg führt, während man die große Mehrheit der Abbrecher ignoriert, die nicht erfolgreich waren.","not_enough_meaning"
136,"System-Rechtfertigung","Die Tendenz, den Status quo zu verteidigen und zu stärken. Bestehende soziale, wirtschaftliche und politische Arrangements werden tendenziell bevorzugt und Alternativen herabgesetzt, manchmal sogar auf Kosten des individuellen und kollektiven Eigeninteresses.","Menschen in niedrigeren sozioökonomischen Schichten könnten ein System verteidigen, das für sie wirtschaftlich nachteilig ist, weil es das System ist, mit dem sie vertraut sind.","need_to_act_fast"
137,"Teleskop-Effekt","Die Tendenz, jüngste Ereignisse in der Zeit nach hinten und ferne Ereignisse in der Zeit nach vorne zu verschieben, so dass jüngste Ereignisse ferner und ferne Ereignisse jünger erscheinen.","Sie könnten denken, ein Ereignis, das vor zwei Jahren stattfand, sei erst vor einem Jahr geschehen (Vorwärts-Teleskopieren), oder ein Ereignis vom letzten Monat sei vor drei Monaten geschehen (Rückwärts-Teleskopieren).","what_to_remember"
138,"Test-Effekt","Die Feststellung, dass das Langzeitgedächtnis oft verbessert wird, wenn ein Teil der Lernphase dem Abrufen der zu erinnernden Informationen gewidmet ist.","Sich aktiv selbst zu Material abzufragen, ist eine effektivere Art zu lernen, als es nur erneut zu lesen.","what_to_remember"
139,"Third-Person-Effekt","Die Hypothese, dass Menschen dazu neigen, wahrzunehmen, dass Massenmedienbotschaften einen größeren Einfluss auf andere als auf sich selbst haben.","Zu glauben, dass gewalttätige Videospiele andere Menschen aggressiver machen, man selbst aber immun gegen ihre Auswirkungen ist.","not_enough_meaning"
140,"Zeitersparnis-Verzerrung","Die Tendenz, die Zeit, die durch Erhöhen oder Verringern der Geschwindigkeit gespart (oder verloren) werden könnte, falsch einzuschätzen.","Zu glauben, dass eine Erhöhung der Geschwindigkeit von 100 km/h auf 130 km/h auf einer kurzen Strecke mehr Zeit spart, als es tatsächlich der Fall ist.","need_to_act_fast"
141,"Eigenschaftszuschreibungs-Verzerrung","Die Tendenz von Menschen, sich selbst als relativ variabel in Bezug auf Persönlichkeit, Verhalten und Stimmung anzusehen, während sie andere als viel vorhersagbarer ansehen.","Die eigenen Handlungen als situationsabhängig anzusehen, aber die Handlungen eines Kollegen als Spiegelbild seiner festen Persönlichkeit zu sehen.","not_enough_meaning"
142,"Ultimativer Attributionsfehler","Ein Attributionsfehler auf Gruppenebene, der eine Erklärung dafür bietet, wie eine Person unterschiedliche Ursachen für negatives und positives Verhalten bei Mitgliedern der Eigengruppe und der Fremdgruppe sieht.","Wenn ein Mitglied unserer eigenen Gruppe etwas Gutes tut, sehen wir es als Spiegelbild seines Charakters. Wenn ein Mitglied einer Fremdgruppe etwas Gutes tut, sehen wir es als Ergebnis von Glück oder Umständen.","not_enough_meaning"
143,"Einheiten-Verzerrung","Die Tendenz, eine gegebene Einheit einer Aufgabe oder eines Gegenstands beenden zu wollen. Starker Einfluss insbesondere auf den Verzehr von Lebensmitteln.","Sich gezwungen zu fühlen, das ganze Sandwich auf dem Teller aufzuessen, auch wenn man bereits satt ist.","need_to_act_fast"
144,"Von-Restorff-Effekt","Ein Element, das heraussticht, wird eher erinnert als andere Elemente. Auch als Isolationseffekt bekannt.","In der Liste: Apfel, Banane, Auto, Orange, Traube; das Wort 'Auto' wird eher erinnert, weil es sich von den anderen unterscheidet.","too_much_information"
145,"Weber-Fechner-Gesetz","Das Prinzip, dass der eben merkliche Unterschied eines Reizes ein konstanter Anteil des ursprünglichen Reizes ist.","Man würde den Unterschied zwischen einem 1kg- und einem 2kg-Gewicht bemerken, aber nicht zwischen einem 50kg- und einem 51kg-Gewicht.","too_much_information"
146,"Effekt der gut befahrenen Straße","Die Tendenz, die Zeit für die Fahrt auf einer vertrauten Strecke zu überschätzen und die Zeit für die Fahrt auf einer neuen Strecke zu unterschätzen.","Ihr täglicher Arbeitsweg fühlt sich länger an als eine neue, gleich lange Fahrt zu einem Urlaubsort.","need_to_act_fast"
147,"Frauen-sind-wunderbar-Effekt","Ein Phänomen, bei dem Frauen mit mehr positiven Eigenschaften assoziiert werden als Männer.","Eine allgemeine Überzeugung zu haben, dass Frauen fürsorglicher, freundlicher und mitfühlender sind als Männer.","not_enough_meaning"
148,"Null-Risiko-Verzerrung","Die Präferenz, ein kleines Risiko auf Null zu reduzieren, anstatt eine größere Reduzierung eines größeren Risikos vorzunehmen.","Eine Politik zu wählen, die ein 0,1%iges Risiko einer bestimmten Art von Unfall vollständig eliminiert, anstatt einer Politik, die ein 5%iges Risiko einer anderen Art von Unfall halbiert.","need_to_act_fast"
149,"Nullsummen-Kurzschluss","Eine Verzerrung, bei der eine Person dazu neigt, Situationen als Nullsummenspiel zu sehen (d.h. der Gewinn einer Person ist der Verlust einer anderen).","Zu glauben, dass, wenn die Wirtschaft eines anderen Landes wächst, dies auf Kosten der Wirtschaft des eigenen Landes gehen muss.","not_enough_meaning"
150,"Zeigarnik-Effekt","Die Tendenz, sich besser an unerledigte oder unterbrochene Aufgaben zu erinnern als an erledigte Aufgaben.","Ein Kellner erinnert sich eher an die Bestellungen eines Tisches, der noch nicht bezahlt hat, als an einen Tisch, der seine Rechnung bereits beglichen hat.","what_to_remember"
